phase1,phase2,phase3,time_phase
1483.0699462890625,1475.1300048828125,1458.8800048828125,0.03410506248474121
1478.6400146484375,1471.550048828125,1457.0799560546875,0.06708407402038574
1468.6300048828125,1460.719970703125,1449.219970703125,0.10106325149536133
1467.77001953125,1459.77001953125,1449.6400146484375,0.1350421905517578
1467.77001953125,1459.77001953125,1449.6400146484375,0.1690216064453125
1467.77001953125,1459.77001953125,1449.6400146484375,0.20200157165527344
1467.77001953125,1459.77001953125,1449.6400146484375,0.23697924613952637
1467.77001953125,1459.77001953125,1449.6400146484375,0.27095746994018555
1467.77001953125,1459.77001953125,1449.6400146484375,0.3059358596801758
1467.77001953125,1459.77001953125,1449.6400146484375,0.34191370010375977
